concept,polarity,closeness_male,closeness_female,closeness_global_north,closeness_global_south
drop_average,negative,,,,
never_underestimate,negative,,,,
hard_hammer,positive,,,,
cut_bulk,negative,,,,
quit_car,negative,,,,
solid_product,positive,,,,
acquittals,negative,,,,
acquittal,negative,,,,
colluded,negative,,,,
collude,negative,,,,
colluding,negative,,,,
contractions,negative,,,,
contraction,negative,,,,
counterclaimed,negative,,,,
counterclaim,negative,,,,
counterclaiming,negative,,,,
counterclaims,negative,,,,
cutbacks,negative,,,,
cutback,negative,,,,
defamation,negative,,,,
defame,negative,,,,
defamed,negative,,,,
defames,negative,,,,
defaming,negative,,,,
defaulted,negative,,,,
default,negative,,,,
defaulting,negative,,,,
defaults,negative,,,,
delisted,negative,,,,
delist,negative,,,,
delisting,negative,,,,
delists,negative,,,,
deterring,negative,,,,
disallowed,negative,,,,
disallowing,negative,,,,
disallows,negative,,,,
disclaims,negative,,,,
disparities,negative,,,,
disparity,negative,,,,
dispossessed,negative,,,,
dispossess,negative,,,,
fell,negative,,,,
encroachments,negative,,,,
encroachment,negative,,,,
exculpate,negative,,,,
falsification,negative,,,,
falsity,negative,,,,
improprieties,negative,,,,
impropriety,negative,,,,
infringing,negative,,,,
injunctions,negative,,,,
injunction,negative,,,,
invalidated,negative,,,,
invalidates,negative,,,,
invalidating,negative,,,,
lacking,negative,,,,
liquidators,negative,,,,
litigations,negative,,,,
litigation,negative,,,,
miscalculations,negative,,,,
miscalculation,negative,,,,
misdirected,negative,,,,
mishandled,negative,,,,
misleading,negative,,,,
misleads,negative,,,,
misled,negative,,,,
missed,negative,,,,
misses,negative,,,,
pled,negative,,,,
rationalizations,positive,,,,
rationalization,positive,,,,
refusals,negative,,,,
refusal,negative,,,,
renegotiated,negative,,,,
renegotiate,negative,,,,
renegotiates,negative,,,,
renegotiating,negative,,,,
resigned,negative,,,,
resigning,negative,,,,
resigns,negative,,,,
restatements,negative,,,,
restatement,negative,,,,
restructured,negative,,,,
restructures,negative,,,,
restructuring,negative,,,,
restructurings,negative,,,,
shortages,negative,,,,
shrinkage,negative,,,,
slippages,negative,,,,
slippage,negative,,,,
subpoenaed,negative,,,,
subpoena,negative,,,,
subpoenas,negative,,,,
underperformed,negative,,,,
underperform,negative,,,,
underperforming,negative,,,,
underperforms,negative,,,,
unjustifiable,negative,,,,
unjustified,negative,,,,
unneeded,negative,,,,
voided,negative,,,,
voiding,negative,,,,
warned,negative,,,,
warnings,negative,,,,
warns,negative,,,,
increases,positive,,,,
rises,positive,,,,
grown,positive,,,,
slumping,negative,,,,
decreases,negative,,,,
decreasing,negative,,,,
decreased,negative,,,,
falls,negative,,,,
dropping,negative,,,,
drops,negative,,,,
lower,negative,,,,
down,negative,,,,
low,negative,,,,
big_hit,positive,,,,
reduce_lending,negative,,,,
late_earnings,positive,,,,
soft_earnings,positive,,,,
good_score,positive,,,,
late_make,positive,,,,
here_make,positive,,,,
tough_competition,positive,,,,
large_up,positive,,,,
big_service,positive,,,,
heavy_fine,positive,,,,
large_maker,positive,,,,
large_manufacturer,positive,,,,
large_provider,positive,,,,
large_size,positive,,,,
large_program,positive,,,,
big_maker,positive,,,,
large_area,positive,,,,
large_producer,positive,,,,
large_investment,positive,,,,
big_producer,positive,,,,
tough_task,positive,,,,
big_plan,positive,,,,
nifty_make,positive,,,,
tough_environment,positive,,,,
overweight_investor,positive,,,,
large_network,positive,,,,
capital_raise,positive,,,,
heavy_truck,positive,,,,
heavy_nibble,positive,,,,
heavy_dose,positive,,,,
good_chart,positive,,,,
stop_down,negative,,,,
good_entry,positive,,,,
good_scenario,positive,,,,
stop_it,negative,,,,
stop_at,negative,,,,
good_buyer,positive,,,,
good_bull,positive,,,,
good_prepare,positive,,,,
all_realize,positive,,,,
good_opportunity,positive,,,,
block_asset,negative,,,,
end_sponsorship,negative,,,,
block_access,negative,,,,
end_session,negative,,,,
good_communication,positive,,,,
fast_making,positive,,,,
advanced_project,positive,,,,
good_design,positive,,,,
good_understanding,positive,,,,
good_application,positive,,,,
stop_production,negative,,,,
stop_operation,negative,,,,
good_route,positive,,,,
good_asset,positive,,,,
exclude_ebit,negative,,,,
exclude_america,negative,,,,
block_change,negative,,,,
stop_fact,negative,,,,
good_profit,positive,,,,
reduce_stake,negative,,,,
good_ratio,positive,,,,
good_buy,positive,,,,
good_show,positive,,,,
good_investment,positive,,,,
stop_downside,negative,,,,
